Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2
0.0000,-0.3663,-0.2473,-0.6084,0.2603,0.8955,-7.0289
0.0160,-0.3663,-0.2501,-0.6084,0.2559,0.8734,-7.1688
0.0320,-0.3663,-0.2528,-0.6063,0.2513,0.8515,-7.0013
0.0480,-0.3663,-0.2554,-0.6010,0.2466,0.8298,-6.7540
0.0640,-0.3668,-0.2581,-0.5979,0.2418,0.8390,-6.7859
0.0800,-0.3673,-0.2607,-0.5974,0.2368,0.8222,-6.8654
0.0960,-0.3673,-0.2633,-0.5974,0.2318,0.7749,-6.8435
0.1130,-0.3673,-0.2660,-0.5921,0.2263,0.7618,-6.5182
0.1300,-0.3684,-0.2687,-0.5822,0.2207,0.7905,-6.1444
0.1460,-0.3684,-0.2713,-0.5764,0.2153,0.7116,-6.2066
0.1620,-0.3689,-0.2738,-0.5675,0.2099,0.7301,-5.9399
0.1780,-0.3699,-0.2762,-0.5643,0.2043,0.7453,-6.1510
0.1940,-0.3705,-0.2787,-0.5560,0.1987,0.7038,-5.7662
0.2110,-0.3710,-0.2812,-0.5502,0.1927,0.6943,-5.8303
0.2270,-0.3715,-0.2836,-0.5397,0.1869,0.6651,-5.3988
0.2430,-0.3731,-0.2860,-0.5277,0.1811,0.7194,-5.1837
0.2590,-0.3741,-0.2883,-0.5219,0.1752,0.6831,-5.3972
0.2750,-0.3752,-0.2907,-0.5109,0.1693,0.6733,-4.9890
0.2910,-0.3752,-0.2930,-0.5078,0.1634,0.6024,-5.3029
0.3070,-0.3752,-0.2952,-0.5078,0.1574,0.5842,-5.4069
0.3230,-0.3752,-0.2975,-0.5078,0.1513,0.5662,-5.3530
0.3390,-0.3768,-0.2997,-0.5057,0.1452,0.6404,-5.1763
0.3560,-0.3773,-0.3020,-0.5057,0.1387,0.5797,-5.2449
0.3720,-0.3783,-0.3042,-0.5057,0.1325,0.5844,-5.1496
0.3880,-0.3794,-0.3063,-0.5041,0.1262,0.5829,-5.0220
0.4040,-0.3820,-0.3085,-0.5020,0.1199,0.6667,-4.9231
0.4210,-0.3825,-0.3107,-0.4873,0.1133,0.5540,-4.1761
0.4370,-0.3825,-0.3128,-0.4837,0.1070,0.4988,-4.5566
0.4530,-0.3825,-0.3148,-0.4758,0.1006,0.4890,-4.2452
0.4700,-0.3825,-0.3170,-0.4758,0.0939,0.4788,-4.6024
0.4860,-0.3825,-0.3190,-0.4716,0.0876,0.4494,-4.2603
0.5020,-0.3825,-0.3210,-0.4653,0.0812,0.4400,-4.0673
0.5180,-0.3825,-0.3229,-0.4653,0.0748,0.4244,-4.3274
0.5350,-0.3830,-0.3250,-0.4653,0.0680,0.4439,-4.2914
0.5520,-0.3836,-0.3270,-0.4706,0.0612,0.4265,-4.5055
0.5690,-0.3836,-0.3290,-0.4810,0.0544,0.3859,-4.7823
0.5860,-0.3836,-0.3309,-0.4842,0.0476,0.3703,-4.4043
0.6030,-0.3846,-0.3329,-0.4878,0.0407,0.4131,-4.4012
0.6190,-0.3857,-0.3347,-0.4910,0.0342,0.4041,-4.3332
0.6350,-0.3867,-0.3365,-0.4962,0.0277,0.4045,-4.4471
0.6510,-0.3867,-0.3382,-0.5004,0.0212,0.3380,-4.3745
0.6670,-0.3867,-0.3400,-0.5046,0.0147,0.3243,-4.3543
0.6830,-0.3883,-0.3417,-0.5161,0.0082,0.4027,-4.7631
0.6990,-0.3888,-0.3434,-0.5219,0.0016,0.3412,-4.4672
0.7160,-0.3920,-0.3451,-0.5423,-0.0054,0.4814,-5.2773
0.7330,-0.3946,-0.3469,-0.5502,-0.0124,0.4598,-4.6714
0.7500,-0.4003,-0.3486,-0.5664,-0.0195,0.6428,-5.1432
0.7660,-0.4119,-0.3503,-0.5664,-0.0261,1.0266,-4.2962
0.7820,-0.4176,-0.3519,-0.5664,-0.0328,0.7785,-4.2601
0.7990,-0.4223,-0.3536,-0.5654,-0.0399,0.7436,-4.1646
0.8150,-0.4260,-0.3553,-0.5623,-0.0465,0.7121,-3.9292
0.8320,-0.4292,-0.3570,-0.5623,-0.0536,0.6999,-4.0705
0.8480,-0.4354,-0.3586,-0.5324,-0.0602,0.8960,-2.2227
0.8650,-0.4438,-0.3603,-0.4847,-0.0671,1.0436,-1.0539
0.8810,-0.4491,-0.3619,-0.4569,-0.0735,0.9313,-1.5798
0.8970,-0.4622,-0.3635,-0.3899,-0.0798,1.4271,0.9859
0.9140,-0.4716,-0.3652,-0.3579,-0.0863,1.2864,-0.5647
0.9300,-0.4816,-0.3669,-0.3301,-0.0924,1.3999,-0.3563
0.9460,-0.5025,-0.3686,-0.2830,-0.0983,2.1188,1.0408
0.9620,-0.5271,-0.3703,-0.2479,-0.1041,2.4956,0.7793
0.9780,-0.5402,-0.3720,-0.2306,-0.1097,2.0136,0.0777
0.9940,-0.5549,-0.3738,-0.2096,-0.1152,2.2005,0.4816
1.0110,-0.5822,-0.3758,-0.1713,-0.1209,2.9691,1.5834
1.0280,-0.5822,-0.3778,-0.1488,-0.1265,1.6617,1.0916
1.0440,-0.5942,-0.3797,-0.0875,-0.1315,2.3432,3.6740
1.0610,-0.5942,-0.3817,-0.0545,-0.1366,1.7340,2.4434
1.0770,-0.6052,-0.3837,0.0010,-0.1412,2.3478,4.2034
1.0930,-0.6052,-0.3857,0.0210,-0.1456,1.7851,2.6038
1.1100,-0.6272,-0.3878,0.0367,-0.1502,2.9959,2.4977
1.1260,-0.6623,-0.3899,0.0603,-0.1542,3.9805,3.1935
1.1430,-0.6885,-0.3923,0.0707,-0.1584,3.6711,2.5970
1.1600,-0.6885,-0.3947,0.0870,-0.1623,2.4081,3.0451
1.1760,-0.7032,-0.3970,0.1593,-0.1658,3.2374,6.5471
1.1930,-0.7032,-0.3994,0.2017,-0.1692,2.4951,5.2833
1.2100,-0.7263,-0.4020,0.2562,-0.1723,3.7465,6.3405
1.2260,-0.7341,-0.4044,0.2583,-0.1750,3.0882,3.9203
1.2420,-0.7441,-0.4070,0.2615,-0.1776,3.2617,4.0047
1.2590,-0.7493,-0.4097,0.2615,-0.1801,3.0383,3.8529
1.2760,-0.7493,-0.4125,0.2678,-0.1825,2.7587,4.2223
1.2930,-0.7493,-0.4153,0.2824,-0.1846,2.7332,4.7520
1.3100,-0.7493,-0.4181,0.2982,-0.1865,2.7075,4.9428
1.3270,-0.7493,-0.4210,0.2982,-0.1882,2.6815,4.2089
1.3440,-0.7493,-0.4239,0.3144,-0.1897,2.6553,5.1172
1.3600,-0.7493,-0.4267,0.3605,-0.1909,2.6203,7.0573
1.3760,-0.7498,-0.4295,0.3710,-0.1918,2.6345,5.3579
1.3930,-0.7498,-0.4325,0.3893,-0.1926,2.5912,5.8488
1.4100,-0.7498,-0.4355,0.4119,-0.1932,2.5560,6.2366
1.4270,-0.7498,-0.4386,0.4349,-0.1935,2.5288,6.4509
1.4430,-0.7546,-0.4415,0.4506,-0.1937,2.7683,6.2781
1.4590,-0.7577,-0.4444,0.4506,-0.1936,2.6991,5.4820
1.4750,-0.7624,-0.4474,0.4506,-0.1934,2.7913,5.4727
1.4910,-0.7624,-0.4504,0.4444,-0.1930,2.5287,5.0944
1.5070,-0.7624,-0.4534,0.4423,-0.1924,2.5021,5.2751
1.5230,-0.7588,-0.4565,0.4423,-0.1917,2.2609,5.3674
1.5400,-0.7436,-0.4597,0.4423,-0.1908,1.5825,5.3557
1.5560,-0.7378,-0.4627,0.4627,-0.1897,1.9152,6.5304
1.5730,-0.7362,-0.4659,0.4795,-0.1884,2.1086,6.4277
1.5900,-0.7357,-0.4692,0.4795,-0.1869,2.1168,5.6146
1.6070,-0.7326,-0.4724,0.4795,-0.1853,1.9389,5.5939
1.6240,-0.7263,-0.4756,0.4768,-0.1834,1.7099,5.4263
1.6400,-0.6995,-0.4786,0.4360,-0.1817,0.4058,3.1304
1.6570,-0.6665,-0.4817,0.4134,-0.1797,-0.0970,3.9144
1.6730,-0.6471,-0.4846,0.4056,-0.1777,0.2811,4.4822
1.6890,-0.6057,-0.4874,0.4030,-0.1756,-1.1841,4.7058
1.7050,-0.5869,-0.4901,0.4003,-0.1734,-0.2369,4.6603
1.7220,-0.5685,-0.4929,0.3925,-0.1710,-0.3248,4.3372
1.7380,-0.5329,-0.4955,0.3668,-0.1686,-1.5833,3.1657
1.7550,-0.5135,-0.4981,0.3469,-0.1661,-0.8797,3.3346
1.7720,-0.4789,-0.5007,0.3228,-0.1635,-1.9146,2.9007
1.7880,-0.4595,-0.5029,0.2950,-0.1610,-1.4444,2.3781
1.8040,-0.4197,-0.5051,0.2468,-0.1585,-2.8121,0.9317
1.8210,-0.3998,-0.5072,0.2468,-0.1558,-1.9325,3.3294
1.8370,-0.3616,-0.5091,0.2447,-0.1533,-3.2588,3.1658
1.8540,-0.3364,-0.5110,0.2447,-0.1505,-2.7408,3.2616
1.8710,-0.3306,-0.5128,0.2447,-0.1476,-1.8924,3.2275
1.8870,-0.3244,-0.5143,0.2374,-0.1449,-2.0043,2.7630
1.9040,-0.3065,-0.5159,0.2059,-0.1420,-2.6785,1.3746
1.9200,-0.2924,-0.5172,0.1907,-0.1393,-2.6839,1.9247
1.9360,-0.2494,-0.5184,0.1855,-0.1366,-4.4914,2.3629
1.9520,-0.2269,-0.5194,0.1677,-0.1338,-3.6628,1.5583
1.9680,-0.1907,-0.5203,0.1593,-0.1311,-4.6532,1.9356
1.9840,-0.1766,-0.5210,0.1551,-0.1283,-3.6722,2.0858
2.0000,-0.1640,-0.5216,0.1431,-0.1256,-3.7002,1.5663
