Time [s],pos_chart_series_1,pos_chart_series_2,sway_chart_series_1,u_chart_series_1
0.0000,0.0000,0.0000,0.0000,0.0000
0.0170,0.0000,0.0000,0.0000,0.0000
0.0330,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000
0.0670,0.0000,0.0000,0.0000,0.0000
0.0830,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000,0.0000
0.1160,0.0000,0.0000,0.0000,0.0000
0.1320,0.0000,0.0000,0.0000,0.0000
0.1490,0.0000,0.0000,0.0000,0.0000
0.1650,0.0000,0.0000,0.0000,0.0000
0.1820,0.0000,0.0000,0.0000,0.0000
0.1980,0.0000,0.0000,0.0000,0.0000
0.2150,0.0000,0.0000,0.0000,0.0000
0.2310,0.0000,0.0000,0.0000,0.0000
0.2470,0.0000,0.0000,0.0000,0.0000
0.2630,0.0000,0.0000,0.0000,0.0000
0.2790,0.0000,0.0000,0.0000,0.0000
0.2960,0.0000,0.0000,0.0000,0.0000
0.3120,0.0000,0.0000,0.0000,0.0000
0.3290,0.0000,0.0000,0.0000,0.0000
0.3460,0.0000,0.0000,0.0000,0.0000
0.3620,0.0000,0.0000,0.0000,0.0000
0.3780,0.0000,0.0000,0.0000,0.0000
0.3940,0.0000,0.0000,0.0000,0.0000
0.4100,0.0000,0.0000,0.0000,0.0000
0.4270,0.0000,0.0000,0.0000,0.0000
0.4440,0.0000,0.0000,0.0000,0.0000
0.4610,0.0000,0.0000,0.0000,0.0000
0.4780,0.0000,0.0000,0.0000,0.0000
0.4950,0.0000,0.0000,0.0000,0.0000
0.5120,0.0000,0.0000,0.0000,0.0000
0.5280,0.0000,0.0000,0.0000,0.0000
0.5450,0.0000,0.0000,0.0000,0.0000
0.5620,0.0000,0.0000,0.0000,0.0000
0.5790,0.0000,0.0000,0.0000,0.0000
0.5960,0.0000,0.0000,0.0000,0.0000
0.6130,0.0000,0.0000,0.0000,0.0000
0.6300,0.0000,0.0000,0.0000,0.0000
0.6460,0.0000,0.0000,0.0000,0.0000
0.6630,0.0000,0.0000,0.0000,0.0000
0.6800,0.0000,0.0000,0.0000,0.0000
0.6970,0.0000,0.0000,0.0000,0.0000
0.7140,0.0000,0.0000,0.0000,0.0000
0.7310,0.0000,0.0000,0.0000,0.0000
0.7470,0.0000,0.0000,0.0000,0.0000
0.7630,0.0000,0.0000,0.0000,0.0000
0.7790,0.0000,0.0000,0.0000,0.0000
0.7960,0.0000,0.0000,0.0000,0.0000
0.8120,0.0000,0.0000,0.0000,0.0000
0.8280,0.0000,0.0000,0.0000,0.0000
0.8440,0.0000,0.0000,0.0000,0.0000
0.8600,0.0000,0.0000,0.0000,0.0000
0.8770,0.0000,0.0000,0.0000,0.0000
0.8930,0.0000,0.0000,0.0000,0.0000
0.9100,0.0000,0.0000,0.0000,0.0000
0.9270,0.0000,0.0000,0.0000,0.0000
0.9440,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.0000
0.9770,0.0000,0.0000,0.0000,0.0000
0.9940,0.0000,0.0000,0.0000,0.0000
1.0100,0.0000,0.0000,0.0000,0.0000
1.0270,0.0000,0.0000,0.0000,0.0000
1.0440,0.0000,0.0000,0.0000,0.0000
1.0600,0.0000,0.0000,0.0000,0.0000
1.0760,0.0000,0.0000,0.0000,0.0000
1.0930,0.0000,0.0000,0.0000,0.0000
1.1090,0.0000,0.0000,0.0000,0.0000
1.1250,0.0000,0.0000,0.0000,0.0000
1.1410,0.0000,0.0000,0.0000,0.0000
1.1570,0.0000,0.0000,0.0000,0.0000
1.1740,0.0000,0.0000,0.0000,0.0000
1.1910,0.0000,0.0000,0.0000,0.0000
1.2080,0.0000,0.0000,0.0000,0.0000
1.2240,0.0000,0.0000,0.0000,0.0000
1.2410,0.0000,0.0000,0.0000,0.0000
1.2570,0.0000,0.0000,0.0000,0.0000
1.2740,0.0000,0.0000,0.0000,0.0000
1.2910,0.0000,0.0000,0.0000,0.0000
1.3070,0.0000,0.0000,0.0000,0.0000
1.3230,0.0000,0.0000,0.0000,0.0000
1.3390,0.0000,0.0000,0.0000,0.0000
1.3550,0.0000,0.0000,0.0000,0.0000
1.3720,0.0000,0.0000,0.0000,0.0000
1.3880,0.0000,0.0000,0.0000,0.0000
1.4050,0.0000,0.0000,0.0000,0.0000
1.4210,0.0000,0.0000,0.0000,0.0000
1.4370,0.0000,0.0000,0.0000,0.0000
1.4530,0.0000,0.0000,0.0000,0.0000
1.4700,0.0000,0.0000,0.0000,0.0000
1.4860,0.0000,0.0000,0.0000,0.0000
1.5030,0.0000,0.0000,0.0000,0.0000
1.5190,0.0000,0.0000,0.0000,0.0000
1.5360,0.0000,0.0000,0.0000,0.0000
1.5520,0.0000,0.0000,0.0000,0.0000
1.5680,0.0000,0.0000,0.0000,0.0000
1.5850,0.0000,0.0000,0.0000,0.0000
1.6020,0.0000,0.0000,0.0000,0.0000
1.6180,0.0000,0.0000,0.0000,0.0000
1.6350,0.0000,0.0000,0.0000,0.0000
1.6510,0.0000,0.0000,0.0000,0.0000
1.6680,0.0000,0.0000,0.0000,0.0000
1.6840,0.0000,0.0000,0.0000,0.0000
1.7010,0.0000,0.0000,0.0000,0.0000
1.7170,0.0000,0.0000,0.0000,0.0000
1.7330,0.0000,0.0000,0.0000,0.0000
1.7490,0.0000,0.0000,0.0000,0.0000
1.7650,0.0000,0.0000,0.0000,0.0000
1.7810,0.0000,0.0000,0.0000,0.0000
1.7980,0.0000,0.0000,0.0000,0.0000
1.8150,0.0000,0.0000,0.0000,0.0000
1.8320,0.0000,0.0000,0.0000,0.0000
1.8480,0.0000,0.0000,0.0000,0.0000
1.8650,0.0000,0.0000,0.0000,0.0000
1.8820,0.0000,0.0000,0.0000,0.0000
1.8980,0.0000,0.0000,0.0000,0.0000
1.9150,0.0000,0.0000,0.0000,0.0000
1.9320,0.0000,0.0000,0.0000,0.0000
1.9470,0.0000,0.0000,0.0000,0.0000
1.9630,0.0000,0.0000,0.0000,0.0000
1.9800,0.0000,0.0000,0.0000,0.0000
1.9960,0.0000,0.0000,0.0000,0.0000
2.0120,0.0000,0.0000,0.0000,0.0000
2.0290,0.0000,0.0000,0.0000,0.0000
2.0450,0.0000,0.0000,0.0000,0.0000
2.0620,0.0000,0.0000,0.0000,0.0000
2.0780,0.0000,0.0000,0.0000,0.0000
2.0940,0.0000,0.0000,0.0000,0.0000
2.1100,0.0000,0.0000,0.0000,0.0000
2.1270,0.0000,0.0000,0.0000,0.0000
2.1430,0.0000,0.0000,0.0000,0.0000
2.1600,0.0000,0.0000,0.0000,0.0000
2.1760,0.0000,0.0000,0.0000,0.0000
2.1920,0.0000,0.0000,0.0000,0.0000
2.2080,0.0000,0.0000,0.0000,0.0000
2.2250,0.0000,0.0000,0.0000,0.0000
2.2410,0.0000,0.0000,0.0000,0.0000
2.2570,0.0000,0.0000,0.0000,0.0000
2.2740,0.0000,0.0000,0.0000,0.0000
2.2900,0.0000,0.0000,0.0000,0.0000
2.3070,0.0000,0.0000,0.0000,0.0000
2.3230,0.0000,0.0000,0.0000,0.0000
2.3390,0.0000,0.0000,0.0000,0.0000
2.3560,0.0000,0.0000,0.0000,0.0000
2.3730,0.0000,0.0000,0.0000,0.0000
2.3890,0.0000,0.0000,0.0000,0.0000
2.4050,0.0000,0.0000,0.0000,0.0000
2.4220,0.0000,0.0000,0.0000,0.0000
2.4380,0.0000,0.0000,0.0000,0.0000
2.4550,0.0000,0.0000,0.0000,0.0000
2.4720,0.0000,0.0000,0.0000,0.0000
2.4880,0.0000,0.0000,0.0000,0.0000
2.5050,0.0000,0.0000,0.0000,0.0000
2.5210,0.0000,0.0000,0.0000,0.0000
2.5370,0.0000,0.0000,0.0000,0.0000
2.5530,0.0000,0.0000,0.0000,0.0000
2.5690,0.0000,0.0000,0.0000,0.0000
2.5850,0.0000,0.0000,0.0000,0.0000
2.6010,0.0000,0.0000,0.0000,0.0000
2.6170,0.0000,0.0000,0.0000,0.0000
2.6340,0.0000,0.0000,0.0000,0.0000
2.6500,0.0000,0.0000,0.0000,0.0000
