Time [s],arm_chart_series_1,arm_chart_series_2,pendulum_chart_series_1,u_chart_series_1
0.0000,38.9388,34.0008,1.1957,0.0259
0.0160,38.9388,34.4943,1.2739,0.0199
0.0320,38.9388,34.9742,1.3494,0.0140
0.0480,38.9388,35.4320,1.4170,0.0084
0.0650,38.9388,35.8868,1.4754,0.0032
0.0820,38.9388,36.3031,1.5168,-0.0016
0.0980,38.9388,36.6558,1.5380,-0.0056
0.1140,38.9388,36.9684,1.5412,-0.0086
0.1300,38.9388,37.2405,1.5265,-0.0108
0.1470,38.9388,37.4862,1.4924,-0.0123
0.1640,38.9388,37.6897,1.4412,-0.0130
0.1800,38.9388,37.8457,1.3796,-0.0131
0.1970,38.9388,37.9778,1.3028,-0.0126
0.2130,38.9388,38.0747,1.2226,-0.0116
0.2290,38.9388,38.1492,1.1373,-0.0103
0.2450,38.9388,38.2058,1.0495,-0.0088
0.2610,38.9388,38.2483,0.9615,-0.0072
0.2770,38.9388,38.2807,0.8756,-0.0055
0.2930,38.9388,38.3064,0.7933,-0.0039
0.3100,38.9388,38.3296,0.7115,-0.0024
0.3270,38.9388,38.3514,0.6368,-0.0010
0.3440,38.9388,38.3742,0.5699,0.0003
0.3610,38.9388,38.3994,0.5114,0.0013
0.3780,38.9388,38.4283,0.4611,0.0020
0.3940,38.9388,38.4592,0.4211,0.0025
0.4110,38.9388,38.4961,0.3859,0.0027
0.4270,38.9388,38.5341,0.3590,0.0028
0.4430,38.9388,38.5749,0.3372,0.0026
0.4600,38.9388,38.6205,0.3190,0.0024
0.4770,38.9388,38.6673,0.3047,0.0020
0.4940,38.9388,38.7143,0.2934,0.0015
0.5100,38.9388,38.7577,0.2847,0.0010
0.5260,38.9388,38.7996,0.2771,0.0005
0.5430,38.9388,38.8416,0.2696,0.0001
0.5590,38.9388,38.8780,0.2626,-0.0004
0.5760,38.9388,38.9131,0.2547,-0.0008
0.5930,38.9388,38.9439,0.2461,-0.0012
0.6100,38.9388,38.9702,0.2366,-0.0014
0.6270,38.9388,38.9921,0.2260,-0.0016
0.6440,38.9388,39.0096,0.2145,-0.0018
0.6610,38.9388,39.0229,0.2020,-0.0018
0.6770,38.9388,39.0320,0.1896,-0.0018
0.6930,38.9388,39.0380,0.1767,-0.0017
0.7100,38.9388,39.0415,0.1627,-0.0016
0.7260,38.9388,39.0426,0.1495,-0.0015
0.7430,-28.2857,39.9944,0.8173,0.9373
0.7590,-28.2857,42.2930,2.4343,0.7544
0.7750,-28.2857,45.4834,4.6642,0.5625
0.7910,-28.2857,49.1366,7.2064,0.3606
0.8070,-28.2857,52.8608,9.7987,0.1569
0.8230,-28.2857,56.3152,12.2226,-0.0410
0.8390,-28.2857,59.2198,14.3053,-0.2254
0.8560,-28.2857,61.4649,16.0041,-0.3892
0.8730,-28.2857,62.6725,17.0801,-0.5354
0.8890,-28.2857,62.7581,17.4749,-0.6489
0.9060,-28.2857,61.6786,17.2234,-0.7252
0.9230,-28.2857,59.3961,16.3045,-0.7758
0.9390,-28.2857,56.1858,14.8727,-0.7975
0.9560,-28.2857,51.7219,12.8147,-0.7943
0.9730,-28.2857,46.2873,10.2879,-0.7676
0.9900,-28.2857,40.0340,7.3920,-0.7171
1.0060,-28.2857,33.5702,4.4298,-0.6422
1.0220,-28.2857,26.7396,1.3453,-0.5487
1.0380,-28.2857,19.7532,-1.7501,-0.4331
1.0550,-28.2857,12.4110,-4.9215,-0.2985
1.0710,-28.2857,5.8120,-7.6752,-0.1410
1.0880,-28.2857,-0.6211,-10.2248,0.0097
1.1040,-28.2857,-5.9485,-12.1752,0.1613
1.1210,-28.2857,-10.6787,-13.6859,0.2841
1.1370,-28.2857,-14.1751,-14.5404,0.3849
1.1530,-28.2857,-16.7123,-14.8333,0.4468
1.1700,-28.2857,-18.3836,-14.5557,0.4760
1.1870,-28.2857,-19.0780,-13.7320,0.4737
1.2040,-28.2857,-18.9176,-12.4500,0.4421
1.2210,-28.2857,-18.0575,-10.8174,0.3879
1.2370,-28.2857,-16.7672,-9.0675,0.3181
1.2540,-28.2857,-15.0631,-7.0978,0.2444
1.2710,-28.2857,-13.1891,-5.1234,0.1624
1.2870,-28.2857,-11.4203,-3.3524,0.0819
1.3040,-28.2857,-9.6754,-1.6447,0.0115
1.3200,-28.2857,-8.2590,-0.2548,-0.0555
1.3370,-28.2857,-7.0783,0.9493,-0.1084
1.3540,-28.2857,-6.2833,1.8531,-0.1531
1.3710,-28.2857,-5.9013,2.4529,-0.1852
1.3870,-28.2857,-5.9206,2.7505,-0.2049
1.4040,-28.2857,-6.3252,2.8065,-0.2128
1.4210,-28.2857,-7.0884,2.6287,-0.2112
1.4370,-28.2857,-8.0894,2.2844,-0.2007
1.4530,-28.2857,-9.3139,1.8068,-0.1845
1.4700,-28.2857,-10.8007,1.1952,-0.1634
1.4860,-28.2857,-12.3183,0.5603,-0.1372
1.5020,-28.2857,-13.8950,-0.0959,-0.1107
1.5190,116.0816,-17.6252,-2.2462,-2.0992
1.5350,116.0816,-24.1011,-6.3536,-1.6762
1.5510,116.0816,-32.3482,-11.7101,-1.2232
1.5670,116.0816,-41.3020,-17.6363,-0.7142
1.5830,116.0816,-49.9591,-23.5306,-0.1523
1.5990,116.0816,-57.4535,-28.8881,0.4401
1.6160,116.0816,-63.3825,-33.5561,1.0281
1.6320,116.0816,-67.6856,-37.3960,0.0000
1.6490,116.0816,-71.8353,-41.4782,0.0000
1.6660,116.0816,-75.5955,-45.6135,0.0000
1.6830,116.0816,-79.0040,-49.8457,0.0000
1.7000,116.0816,-82.0905,-54.2117,0.0000
1.7160,116.0816,-84.7222,-58.4718,0.0000
1.7330,116.0816,-87.2450,-63.1847,0.0000
1.7500,116.0816,-89.4986,-68.1137,0.0000
1.7670,116.0816,-91.4915,-73.2799,0.0000
1.7830,116.0816,-93.1328,-78.3757,0.0000
1.8000,116.0816,-94.6284,-84.0537,0.0000
1.8170,116.0816,-95.8652,-90.0171,0.0000
1.8330,116.0816,-96.7873,-95.9014,0.0000
1.8490,116.0816,-97.4667,-102.0573,0.0000
1.8660,116.0816,-97.9118,-108.9020,0.0000
1.8830,116.0816,-98.0585,-116.0632,0.0000
1.9000,116.0816,-97.8940,-123.5385,0.0000
1.9160,116.0816,-97.4475,-130.8514,0.0000
1.9320,116.0816,-96.7199,-138.4127,0.0000
1.9480,116.0816,-95.7290,-146.1851,0.0000
1.9650,116.0816,-94.4362,-154.6058,0.0000
1.9810,116.0816,-93.0734,-162.5872,0.0000
1.9980,116.0816,-91.5925,-170.9889,0.0000
2.0150,116.0816,-90.2205,-179.1506,0.0000
2.0310,116.0816,-89.1432,173.5193,0.0000
2.0470,116.0816,-88.3435,166.6218,0.0000
2.0630,116.0816,-87.8457,160.2069,0.0000
2.0790,116.0816,-87.6403,154.2933,0.0000
2.0950,116.0816,-87.6977,148.8800,0.0000
2.1120,116.0816,-88.0038,143.6645,0.0000
2.1280,116.0816,-88.4815,139.2457,0.0000
2.1440,116.0816,-89.1057,135.2874,0.0000
2.1610,116.0816,-89.8938,131.5717,0.0000
2.1780,116.0816,-90.7786,128.3474,0.0000
2.1940,116.0816,-91.6752,125.7505,0.0000
2.2100,116.0816,-92.6150,123.5685,0.0000
2.2260,116.0816,-93.5830,121.7923,0.0000
2.2430,116.0816,-94.6296,120.3403,0.0000
2.2600,116.0816,-95.6849,119.3264,0.0000
2.2770,116.0816,-96.7422,118.7403,0.0000
2.2930,116.0816,-97.7355,118.5696,0.0000
2.3090,116.0816,-98.7260,118.7589,0.0000
2.3250,116.0816,-99.7144,119.2984,0.0000
2.3410,116.0816,-100.7032,120.1779,0.0000
2.3570,116.0816,-101.6958,121.3865,0.0000
2.3740,116.0816,-102.7599,123.0185,0.0000
2.3900,116.0816,-103.7758,124.8692,0.0000
2.4070,116.0816,-104.8769,127.1551,0.0000
2.4230,116.0816,-105.9394,129.5922,0.0000
2.4390,116.0816,-107.0325,132.2907,0.0000
2.4560,116.0816,-108.2317,135.4247,0.0000
2.4730,116.0816,-109.4725,138.8111,0.0000
2.4900,116.0816,-110.7546,142.4235,0.0000
2.5060,116.0816,-111.9953,146.0027,0.0000
2.5220,116.0816,-113.2619,149.7267,0.0000
2.5390,116.0816,-114.6234,153.8057,0.0000
2.5560,116.0816,-115.9829,157.9681,0.0000
2.5720,116.0816,-117.2402,161.9195,0.0000
2.5890,116.0816,-118.5273,166.1065,0.0000
2.6050,116.0816,-119.6691,169.9922,0.0000
2.6220,116.0816,-120.7840,174.0163,0.0000
2.6390,116.0816,-121.7764,177.8896,0.0000
2.6560,116.0816,-122.6307,-178.4258,0.0000
2.6730,116.0816,-123.3377,-174.9604,0.0000
2.6900,116.0816,-123.8951,-171.7372,0.0000
2.7070,116.0816,-124.3059,-168.7724,0.0000
2.7230,116.0816,-124.5651,-166.2276,0.0000
2.7390,116.0816,-124.7093,-163.9261,0.0000
2.7550,116.0816,-124.7479,-161.8703,0.0000
2.7710,116.0816,-124.6909,-160.0603,0.0000
2.7880,0.0000,-0.0546,0.5363,-0.0550
2.8050,0.0000,-0.2009,0.4397,-0.0485
2.8210,0.0000,-0.4011,0.3099,-0.0404
2.8370,0.0000,-0.6415,0.1572,-0.0319
2.8540,0.0000,-0.9203,-0.0162,-0.0230
2.8700,0.0000,-1.1874,-0.1784,-0.0135
2.8870,0.0000,-1.4591,-0.3389,-0.0052
2.9030,0.0000,-1.6912,-0.4715,0.0029
2.9190,0.0000,-1.8904,-0.5806,0.0095
2.9350,0.0000,-2.0503,-0.6630,0.0149
2.9510,0.0000,-2.1672,-0.7173,0.0191
2.9670,0.0000,-2.2395,-0.7435,0.0221
2.9830,0.0000,-2.2678,-0.7431,0.0238
3.0000,0.0000,-2.2526,-0.7162,0.0244
3.0160,0.0000,-2.1999,-0.6695,0.0240
3.0320,0.0000,-2.1149,-0.6058,0.0228
3.0490,0.0000,-1.9959,-0.5242,0.0209
3.0660,0.0000,-1.8542,-0.4330,0.0183
3.0830,0.0000,-1.6973,-0.3370,0.0153
3.1000,0.0000,-1.5323,-0.2406,0.0122
3.1170,0.0000,-1.3657,-0.1477,0.0090
3.1340,0.0000,-1.2033,-0.0615,0.0060
3.1510,0.0000,-1.0497,0.0155,0.0032
3.1670,0.0000,-0.9166,0.0780,0.0007
3.1830,0.0000,-0.7970,0.1297,-0.0012
3.2000,0.0000,-0.6862,0.1726,-0.0027
3.2160,59.5102,-1.3479,-0.3351,-0.8349
3.2320,59.5102,-3.2422,-1.7102,-0.6845
3.2480,59.5102,-5.9697,-3.6567,-0.5160
3.2640,59.5102,-9.1498,-5.9051,-0.3385
3.2800,59.5102,-12.4339,-8.2200,-0.1596
3.2960,59.5102,-15.5178,-10.4044,0.0136
3.3120,59.5102,-18.1499,-12.3018,0.1747
3.3280,59.5102,-20.1353,-13.7964,0.3176
3.3450,59.5102,-21.3821,-14.8578,0.4379
3.3610,59.5102,-21.6559,-15.3198,0.5385
3.3770,59.5102,-21.0106,-15.2463,0.6060
3.3930,59.5102,-19.4450,-14.6526,0.6484
3.4090,59.5102,-16.9911,-13.5741,0.6676
3.4250,59.5102,-13.7093,-12.0627,0.6660
3.4410,59.5102,-9.6853,-10.1828,0.6454
3.4570,59.5102,-5.0272,-8.0081,0.6075
3.4740,59.5102,0.4730,-5.4646,0.5532
3.4910,59.5102,6.3701,-2.7811,0.4781
3.5080,59.5102,12.4695,-0.0658,0.3868
3.5250,59.5102,18.5669,2.5718,0.2821
3.5410,59.5102,24.1210,4.8869,0.1689
3.5580,59.5102,29.6433,7.0735,0.0610
3.5750,59.5102,34.6225,8.9017,-0.0487
3.5920,59.5102,38.9333,10.3091,-0.1455
3.6090,59.5102,42.4941,11.2584,-0.2234
