Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2,status_color
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.3930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
0.4090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
