Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2
0.0000,0.4071,-0.0902,0.2622,-0.0591,4.4992,3.7072
0.0160,0.3613,-0.0860,0.3169,-0.0627,3.9586,4.2875
0.0330,0.3111,-0.0815,0.4084,-0.0662,3.4754,5.1428
0.0490,0.2867,-0.0773,0.4738,-0.0692,3.1225,5.8408
0.0660,0.2867,-0.0729,0.5071,-0.0720,3.1467,6.1135
0.0820,0.2276,-0.0688,0.5844,-0.0742,2.4524,6.9103
0.0980,0.1658,-0.0648,0.6280,-0.0761,1.8320,7.3031
0.1150,0.1302,-0.0606,0.6729,-0.0777,1.4740,7.7111
0.1320,0.0516,-0.0565,0.7587,-0.0788,0.6265,8.5491
0.1480,-0.0311,-0.0528,0.8293,-0.0795,-0.2573,9.2251
0.1650,-0.0444,-0.0490,0.8520,-0.0798,-0.3547,9.3967
0.1820,-0.1089,-0.0453,0.8653,-0.0797,-1.0455,9.4861
0.1980,-0.1089,-0.0421,0.8729,-0.0792,-1.0870,9.5076
0.2140,-0.1413,-0.0391,0.8813,-0.0783,-1.3962,9.5405
0.2310,-0.1951,-0.0360,0.8889,-0.0769,-1.9200,9.5674
0.2470,-0.2773,-0.0334,0.8889,-0.0753,-2.7926,9.4899
0.2640,-0.2773,-0.0308,0.9218,-0.0732,-2.7523,9.7814
0.2810,-0.3129,-0.0284,0.9218,-0.0708,-3.1256,9.7042
0.2980,-0.3129,-0.0263,0.9102,-0.0680,-3.1206,9.5216
0.3140,-0.4751,-0.0246,0.8889,-0.0651,-4.7507,9.2193
0.3300,-0.4751,-0.0231,0.8787,-0.0619,-4.7237,9.0728
0.3460,-0.5818,-0.0218,0.8787,-0.0584,-5.7753,9.0076
0.3620,-0.6462,-0.0208,0.8640,-0.0548,-6.4001,8.7953
0.3780,-0.6698,-0.0202,0.8493,-0.0509,-6.6115,8.5829
0.3950,-0.7058,-0.0197,0.7724,-0.0466,-6.9382,7.7768
0.4110,-0.7231,-0.0196,0.7542,-0.0423,-7.0856,7.4656
0.4270,-0.7449,-0.0198,0.7129,-0.0379,-7.2652,7.0210
0.4430,-0.7653,-0.0203,0.6907,-0.0334,-7.4317,6.7371
0.4600,-0.8084,-0.0211,0.6422,-0.0285,-7.8257,6.2256
0.4760,-0.8187,-0.0222,0.6213,-0.0238,-7.8720,5.8855
0.4920,-0.8404,-0.0235,0.5849,-0.0191,-8.0500,5.5007
0.5080,-0.8444,-0.0251,0.5693,-0.0143,-8.0419,5.2906
0.5250,-0.8564,-0.0271,0.5360,-0.0092,-8.1238,4.9397
0.5410,-0.8867,-0.0293,0.5124,-0.0044,-8.3443,4.5773
0.5570,-0.8969,-0.0317,0.4444,0.0004,-8.4077,3.8859
0.5730,-0.8969,-0.0343,0.3978,0.0052,-8.3525,3.3729
0.5900,-0.8711,-0.0374,0.3067,0.0102,-8.0575,2.4532
0.6060,-0.8569,-0.0405,0.3067,0.0149,-7.8124,2.3390
0.6230,-0.8364,-0.0440,0.2213,0.0197,-7.5957,1.5195
0.6400,-0.8298,-0.0477,0.2213,0.0244,-7.4450,1.4500
0.6570,-0.8173,-0.0516,0.1333,0.0289,-7.2594,0.5377
0.6740,-0.8102,-0.0557,0.1049,0.0333,-7.1274,0.2250
0.6900,-0.7924,-0.0596,0.0507,0.0373,-6.8590,-0.3740
0.7070,-0.7849,-0.0640,0.0187,0.0413,-6.7860,-0.6524
0.7230,-0.7720,-0.0682,-0.0409,0.0449,-6.5362,-1.3241
0.7400,-0.7684,-0.0728,-0.0649,0.0485,-6.5080,-1.5209
