Time [s],satellite_chart_series_1,satellite_chart_series_2,wheel_chart_series_1,u_chart_series_1
0.0000,-0.4300,-0.3707,0.0102,0.0031
0.0170,-0.4300,-0.3718,0.0100,0.0031
0.0330,-0.4300,-0.3728,0.0098,0.0030
0.0500,-0.4300,-0.3738,0.0096,0.0029
0.0670,-0.4300,-0.3748,0.0095,0.0029
0.0840,-0.4300,-0.3758,0.0093,0.0028
0.1010,-0.4300,-0.3768,0.0091,0.0028
0.1170,-0.4300,-0.3777,0.0090,0.0027
0.1330,-0.4300,-0.3786,0.0088,0.0027
0.1490,-0.4300,-0.3795,0.0086,0.0027
0.1660,-0.4300,-0.3804,0.0085,0.0026
0.1820,-0.4300,-0.3812,0.0083,0.0026
0.1980,-0.4300,-0.3821,0.0082,0.0025
0.2140,-0.4300,-0.3829,0.0080,0.0025
0.2300,-0.4300,-0.3837,0.0079,0.0024
0.2470,-0.4300,-0.3845,0.0078,0.0024
0.2630,-0.4300,-0.3853,0.0076,0.0023
0.2790,-0.4300,-0.3860,0.0075,0.0023
0.2960,-0.4300,-0.3868,0.0073,0.0023
0.3130,-0.4300,-0.3876,0.0072,0.0022
0.3290,-0.4300,-0.3883,0.0071,0.0022
0.3460,-0.4300,-0.3891,0.0069,0.0022
0.3620,-0.4300,-0.3898,0.0068,0.0021
0.3780,-0.4300,-0.3905,0.0067,0.0021
0.3950,-0.4300,-0.3912,0.0066,0.0020
0.4120,-0.4300,-0.3919,0.0065,0.0020
0.4290,-0.4300,-0.3926,0.0063,0.0020
0.4460,-0.4300,-0.3932,0.0062,0.0019
0.4620,-0.4300,-0.3939,0.0061,0.0019
0.4780,-0.4300,-0.3945,0.0060,0.0019
0.4940,-0.4300,-0.3951,0.0059,0.0018
0.5100,-0.4300,-0.3957,0.0058,0.0018
0.5260,-0.4300,-0.3962,0.0057,0.0018
0.5430,-0.4300,-0.3969,0.0056,0.0017
0.5590,-0.4300,-0.3974,0.0055,0.0017
0.5750,-0.4300,-0.3980,0.0054,0.0017
0.5910,-0.4300,-0.3985,0.0053,0.0017
0.6070,-0.4300,-0.3991,0.0052,0.0016
0.6240,-0.4300,-0.3996,0.0051,0.0016
0.6410,-0.4300,-0.4002,0.0050,0.0016
0.6580,-0.4300,-0.4007,0.0049,0.0015
0.6740,-0.4300,-0.4012,0.0048,0.0015
0.6910,-0.4300,-0.4017,0.0047,0.0015
0.7070,-0.4300,-0.4022,0.0046,0.0015
0.7230,-0.4300,-0.4027,0.0045,0.0014
0.7400,-0.4300,-0.4032,0.0045,0.0014
0.7560,-68.9903,-0.4739,0.7195,-11.9646
0.7730,-68.9903,-0.6222,1.4206,-11.0329
0.7890,-68.9903,-0.8211,2.0253,-10.1055
0.8050,-68.9903,-1.0748,2.5818,-9.2932
0.8210,-68.9903,-1.3787,3.0931,-8.5332
0.8370,-68.9903,-1.7287,3.5623,-7.8224
0.8540,-68.9903,-2.1482,4.0188,-7.1578
